time,value
2024-02-14T17:56:00.909368267Z,"'Temperature = 22.00  Humidity = 90.00  Air Quality = 128"
2024-02-14T17:56:01.629176047Z,"'Temperature = 20.60  Humidity = 82.00  Air Quality = 136"
2024-02-14T17:56:02.388868015Z,"'Temperature = 20.60  Humidity = 82.00  Air Quality = 135"
2024-02-14T17:56:03.108916494Z,"'Temperature = 20.60  Humidity = 82.00  Air Quality = 134"
2024-02-14T17:56:03.929041666Z,"'Temperature = 20.60  Humidity = 82.00  Air Quality = 133"
2024-02-14T17:56:04.658965398Z,"'Temperature = 20.60  Humidity = 81.00  Air Quality = 142"
2024-02-14T17:56:05.353913177Z,"'Temperature = 20.60  Humidity = 81.00  Air Quality = 148"
2024-02-14T17:56:06.048814948Z,"'Temperature = 20.60  Humidity = 81.00  Air Quality = 147"
2024-02-15T12:17:05.239723604Z,"'Temperature = 20.60  Humidity = 55.00  Air Quality = 337"
2024-02-15T12:17:12.810099104Z,"'Temperature = 20.60  Humidity = 55.00  Air Quality = 297"
2024-02-15T12:17:20.805020655Z,"'Temperature = 20.60  Humidity = 54.00  Air Quality = 245"
2024-02-15T12:17:28.444916966Z,"'Temperature = 20.60  Humidity = 53.00  Air Quality = 213"
2024-02-15T12:17:36.094734183Z,"'Temperature = 20.60  Humidity = 52.00  Air Quality = 190"
2024-02-15T12:17:43.730789888Z,"'Temperature = 20.60  Humidity = 52.00  Air Quality = 175"
2024-02-15T12:17:51.706521516Z,"'Temperature = 20.60  Humidity = 51.00  Air Quality = 163"
2024-02-15T12:17:59.331095339Z,"'Temperature = 20.60  Humidity = 51.00  Air Quality = 157"
2024-02-15T12:18:06.975412961Z,"'Temperature = 20.60  Humidity = 51.00  Air Quality = 149"
2024-02-15T12:18:14.63528286Z,"'Temperature = 20.60  Humidity = 50.00  Air Quality = 144"
2024-02-15T12:18:22.565681352Z,"'Temperature = 20.60  Humidity = 50.00  Air Quality = 137"
2024-02-15T12:18:30.23531257Z,"'Temperature = 20.60  Humidity = 50.00  Air Quality = 134"
2024-02-15T12:18:37.886009413Z,"'Temperature = 20.60  Humidity = 50.00  Air Quality = 129"
2024-02-15T12:18:45.515103039Z,"'Temperature = 20.60  Humidity = 49.00  Air Quality = 127"
2024-02-15T12:18:53.44658909Z,"'Temperature = 20.60  Humidity = 49.00  Air Quality = 125"
2024-02-15T12:19:01.0953752Z,"'Temperature = 20.60  Humidity = 49.00  Air Quality = 123"
2024-02-15T12:19:08.740095462Z,"'Temperature = 20.60  Humidity = 49.00  Air Quality = 121"
2024-02-15T12:19:16.394716528Z,"'Temperature = 20.60  Humidity = 48.00  Air Quality = 118"
2024-02-15T12:19:24.365029131Z,"'Temperature = 20.60  Humidity = 48.00  Air Quality = 117"
2024-02-15T12:19:32.015622974Z,"'Temperature = 20.60  Humidity = 48.00  Air Quality = 116"
2024-02-15T12:19:39.634905433Z,"'Temperature = 20.60  Humidity = 48.00  Air Quality = 114"
2024-02-15T12:19:54.595087363Z,"'Temperature = 20.60  Humidity = 48.00  Air Quality = 113"
2024-02-15T12:20:02.264599038Z,"'Temperature = 20.60  Humidity = 48.00  Air Quality = 112"
2024-02-15T12:20:09.884348952Z,"'Temperature = 20.60  Humidity = 48.00  Air Quality = 109"
